Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover(₹ Lac.),No. of Trades
500180,HDFCBANK,A,1714.90,1757.80,1701.75,1719.55,964459,16768.12,33453
500325,RELIANCE,A,2553.20,2622.00,2553.20,2615.20,517214,13417.42,35468
532667,SUZLON,A,15.70,16.86,15.70,16.86,75398151,12517.38,35990
532368,BCG,A,32.48,33.07,30.17,31.92,23401809,7532.62,31643
543237,MAZDOCK,A,1280.00,1341.00,1273.00,1288.85,481405,6334.92,19301
533519,L&TFH,A,129.30,140.20,128.20,137.30,3950898,5357.32,24423
500034,BAJFINANCE,A,7155.45,7356.30,7155.45,7335.35,63894,4653.63,8780
532939,RPOWER,A,14.19,15.25,14.10,15.09,29750357,4385.35,16836
532134,BANKBARODA,A,191.30,199.75,189.95,199.10,2163877,4228.97,16548
539437,IDFCFIRSTB,A,80.07,82.10,79.89,81.94,5160975,4191.91,17729
500010,HDFC,A,2844.00,2926.00,2841.30,2871.20,134162,3872.99,21102
500875,ITC,A,446.05,466.00,446.05,462.95,823126,3763.46,20411
500470,TATASTEEL,A,112.05,114.25,112.05,113.05,3273509,3710.13,23701
532461,PNB,A,52.00,53.96,52.00,53.84,6634204,3520.44,13684
543720,KFINTECH,B,372.05,385.00,358.55,365.15,927844,3441.74,4325
500570,TATAMOTORS,A,600.00,602.50,590.00,590.90,498272,2967.61,12221
543320,ZOMATO,A,75.41,77.20,74.61,75.68,3872311,2946.70,14048
532174,ICICIBANK,A,935.90,945.80,935.70,942.00,310693,2929.45,15499
532648,YESBANK,A,16.28,16.54,16.28,16.36,17450001,2862.91,15099
532218,SOUTHBANK,A,19.50,20.68,19.50,20.48,13963640,2801.95,9399
512599,ADANIENT,A,2400.00,2417.00,2372.90,2384.05,114244,2734.44,6752
500112,SBIN,A,574.00,586.20,574.00,585.40,462230,2689.84,9311
500696,HINDUNILVR,A,2680.00,2705.00,2659.15,2698.85,94230,2522.33,8618
590024,FACT,B,435.00,478.30,426.95,470.40,540057,2466.43,11382
505537,ZEEL,A,177.05,184.95,176.40,180.75,1276280,2313.60,10994
532149,BANKINDIA,A,74.01,77.54,74.00,77.28,2886735,2186.16,8495
500185,HCC,A,20.24,21.20,20.16,21.04,10328047,2140.95,6077
540691,ABCAPITAL,A,196.55,199.40,194.05,194.80,1087832,2132.45,3874
539254,ADANITRANS,A,783.15,784.40,770.10,772.95,274743,2132.22,12186
532500,MARUTI,A,9773.95,9780.00,9654.45,9672.55,21743,2107.65,3454
500209,INFY,A,1333.90,1346.05,1328.60,1333.20,141383,1889.19,7840
500520,M&M,A,1465.05,1498.55,1458.85,1468.35,126528,1865.42,6603
532483,CANBK,A,302.35,320.90,302.35,318.40,575016,1805.94,6476
500285,SPICEJET,A,27.54,31.80,27.50,30.64,5984018,1798.85,11067
500113,SAIL,A,85.62,88.20,85.60,87.49,2036785,1775.22,9262
532822,IDEA,A,7.46,7.66,7.45,7.53,23358385,1763.23,7234
532810,PFC,A,217.35,223.25,215.50,219.70,783348,1728.08,8394
532652,KTKBANK,A,190.05,196.80,189.65,192.15,871465,1678.51,8201
532187,INDUSINDBK,A,1375.30,1386.30,1367.45,1379.65,119919,1651.46,10592
534309,NBCC,A,39.80,40.15,39.18,39.31,4117599,1632.66,5223
500247,KOTAKBANK,A,1855.00,1858.65,1838.00,1843.75,88244,1630.87,8092
512455,LLOYDSME,A,395.20,418.00,395.20,416.70,393935,1620.20,3591
535789,IBULHSGFIN,A,124.50,127.90,122.80,126.90,1292074,1619.98,6571
532627,JPPOWER,A,6.15,6.39,6.15,6.35,25609509,1610.42,7525
533148,JSWENERGY,A,274.05,291.25,274.05,289.00,562440,1607.52,10026
541729,HDFCAMC,A,2301.05,2310.00,2255.25,2285.10,69472,1584.79,6818
532921,ADANIPORTS,A,745.95,747.55,732.85,736.80,214061,1580.78,5976
532477,UNIONBANK,A,72.31,75.00,72.31,74.90,2106016,1553.57,8266
543396,PAYTM,A,868.10,880.00,845.50,848.65,176190,1506.06,10062
532540,TCS,A,3306.70,3318.65,3267.00,3271.40,45336,1490.57,4671
540065,RBLBANK,A,183.00,186.95,182.75,184.25,793985,1466.20,5883
500103,BHEL,A,87.71,89.10,87.08,88.29,1623244,1432.74,7218
526371,NMDC,A,105.70,107.70,105.70,107.45,1329249,1423.35,7141
540376,DMART,A,3889.80,3947.00,3843.00,3865.35,36571,1419.27,7468
532605,JBMA,A,1347.95,1418.70,1312.50,1388.45,103426,1408.54,5905
540073,BLS,A,210.70,220.60,210.05,211.80,651791,1400.36,15559
533096,ADANIPOWER,A,251.00,251.85,248.00,248.40,558388,1393.33,12610
539336,GUJGAS,A,487.00,492.25,472.55,474.30,285653,1378.84,5843
541153,BANDHANBNK,A,245.55,245.60,235.00,235.45,575635,1372.39,11177
500295,VEDL,A,279.05,280.40,277.75,278.15,489280,1364.71,13282
533122,RTNPOWER,A,4.93,5.36,4.93,5.36,25949514,1353.07,9466
532525,MAHABANK,A,29.01,30.38,29.01,29.97,4546133,1352.76,6850
532977,BAJAJ-AUTO,A,4685.60,4685.65,4589.00,4610.70,28695,1326.82,4082
543232,CAMS,A,2226.00,2329.30,2226.00,2292.75,57005,1307.26,8653
500049,BEL,A,126.10,126.15,122.70,123.70,1031023,1280.99,10680
540133,ICICIPRULI,A,565.55,580.00,565.55,577.95,220971,1276.51,1841
532454,BHARTIARTL,A,878.25,884.00,874.55,879.05,145114,1275.07,5778
500510,LT,A,2477.00,2492.50,2448.00,2452.00,51230,1260.75,4526
500228,JSWSTEEL,A,786.10,808.00,786.10,794.25,157119,1255.21,4574
530965,IOC,A,91.36,96.05,91.31,95.38,1320473,1249.58,6955
500104,HINDPETRO,A,275.05,293.40,272.70,283.60,432590,1242.60,5223
532523,BIOCON,A,266.50,270.15,262.40,263.40,461871,1227.89,7284
500477,ASHOKLEY,A,169.00,173.85,166.65,167.20,698132,1187.64,7123
505200,EICHERMOT,A,3584.35,3664.90,3584.30,3629.05,30802,1118.78,3982
532659,IDFC,A,104.85,110.85,103.90,109.10,1029859,1112.37,5359
531213,MANAPPURAM,A,132.55,133.30,128.30,128.80,849906,1110.24,7159
540005,LTIM,A,5225.00,5233.45,5135.75,5210.30,21325,1104.49,3891
532505,UCOBANK,A,27.88,28.74,27.38,28.10,3771014,1060.30,5293
532531,STAR,A,443.05,474.75,443.05,467.95,225687,1051.28,7472
533206,SJVN,A,41.17,43.35,40.61,42.39,2487001,1047.62,5641
530007,JKTYRE,A,236.75,239.90,227.75,235.30,447358,1036.69,7864
533179,PERSISTENT,A,5035.00,5048.95,4800.00,4849.80,21005,1029.70,2833
500302,PEL,A,945.05,958.35,942.05,955.95,106402,1012.23,4592
543712,AHL,B,320.35,323.80,255.25,273.05,378416,997.92,6748
532215,AXISBANK,A,988.05,989.15,978.00,982.10,100256,985.66,5847
543458,AWL,A,413.20,414.25,400.50,406.30,240326,981.59,8315
531120,PATELENG,T,34.70,35.50,32.12,35.46,2855895,972.35,5857
543923,IKIO,B,437.45,444.95,421.00,425.45,224021,963.20,7710
538891,MCLOUD,B,227.10,234.90,226.70,234.40,410312,944.31,2836
542830,IRCTC,A,635.25,639.65,632.00,633.00,143534,912.37,8957
503806,SRF,A,2293.05,2304.70,2265.70,2274.25,40059,912.05,5893
512379,CRESSAN,B,27.40,28.70,27.35,27.76,3252625,909.55,1820
505700,ELECON,A,587.05,637.30,587.05,625.10,147109,908.70,7512
543526,LICI,A,635.00,638.00,627.60,628.70,142195,898.27,8393
543257,IRFC,A,32.77,32.99,32.70,32.80,2675591,878.71,3404
540124,GNA,B,829.80,891.40,825.00,864.70,99272,857.70,6690
500770,TATACHEM,A,1002.05,1016.00,1000.55,1008.05,84667,853.62,5844
541154,HAL,A,3803.05,3812.60,3763.00,3770.45,22014,832.78,2207
590103,NIFTYBEES,B,211.67,212.59,210.77,212.29,387220,820.34,4649
500086,EXIDEIND,A,237.10,240.75,237.10,239.85,337593,808.24,9643
500008,AMARAJABAT,A,685.00,694.95,685.00,688.25,117170,808.04,8310
500110,CHENNPETRO,A,390.00,410.30,389.00,401.15,199584,806.29,4948
541167,YASHO,A,1829.00,1905.00,1829.00,1858.05,42731,801.62,2870
539594,MISHTANN,X,10.78,11.25,10.65,11.18,7279969,794.71,8136
500547,BPCL,A,364.00,379.85,363.55,375.45,211941,793.72,4229
540750,IEX,A,127.15,128.00,126.55,126.75,623272,792.41,9938
532374,STLTECH,A,148.55,154.35,148.55,153.65,502608,767.97,7902
540699,DIXON,A,4419.95,4442.00,4345.10,4357.50,17451,766.31,3363
519126,HNDFDS,A,515.45,594.00,513.25,567.00,132567,761.56,7533
500400,TATAPOWER,A,222.50,224.15,221.55,221.75,336608,749.15,7815
500109,MRPL,A,77.00,80.50,76.77,78.72,937646,743.72,4381
532209,J&KBANK,A,61.30,63.70,60.85,61.95,1191449,740.43,4486
532734,GPIL,A,538.40,539.25,518.00,520.55,138845,738.01,4152
543920,CFF,M,181.95,210.40,175.05,208.30,365600,732.27,411
543278,KALYANKJIL,A,147.00,152.80,145.50,150.55,486584,727.95,5675
540777,HDFCLIFE,A,650.80,657.00,644.60,650.90,111607,725.59,3107
500147,COCKERILL,X,2998.00,3005.00,2865.20,2894.85,24266,724.01,788
507685,WIPRO,A,395.40,395.40,389.50,391.60,184980,723.94,5114
507753,TGVSL,B,101.00,108.00,100.95,107.38,687227,723.38,4238
500390,RELINFRA,A,136.35,141.60,136.35,139.45,516082,720.29,2584
500877,APOLLOTYRE,A,400.00,402.00,396.00,397.10,175910,701.08,5175
532439,OLECTRA,A,982.95,999.00,957.75,987.00,71309,697.91,3924
534091,MCX,A,1487.90,1514.85,1476.85,1504.80,46362,693.68,3164
539686,KPEL,B,350.00,360.80,345.10,360.80,191714,687.09,2249
540767,NAM-INDIA,A,288.65,293.00,281.75,285.80,238530,683.37,6452
539992,LLOYDSTEEL,A,23.71,26.60,23.65,26.23,2667125,680.93,5214
532210,CUB,A,127.55,128.90,126.05,127.75,529723,674.98,5258
500114,TITAN,A,3049.00,3053.05,3027.00,3037.85,22193,674.68,4402
543398,LATENTVIEW,A,347.55,376.30,347.55,374.80,181142,670.19,4317
540377,IFL,B,15.90,16.00,15.25,15.48,4294407,667.09,1256
539997,KPL,B,305.00,324.00,294.95,314.35,220701,661.49,818
590003,KARURVYSYA,B,125.05,133.30,125.05,127.95,507379,659.01,5332
511218,SHRIRAMFIN,A,1750.00,1777.25,1744.55,1757.25,36922,648.71,2762
538970,WARDINMOBI,A,46.69,46.90,43.68,43.85,1443101,638.29,7950
539957,MGL,A,1050.00,1087.35,1049.95,1080.80,58367,628.04,4375
532755,TECHM,A,1132.65,1136.45,1115.00,1121.35,55725,625.91,2874
539017,STARHFL,X,52.89,52.90,49.60,51.15,1243506,625.43,1047
532955,RECLTD,A,165.05,168.00,163.75,166.20,373818,621.69,4484
539310,THINKINK,B,99.00,99.55,97.45,98.55,630556,620.65,918
533278,COALINDIA,A,231.95,233.70,229.80,231.60,263169,610.17,5679
590138,SETFNIF50,B,199.40,200.69,199.09,200.68,303449,607.35,3940
532926,JYOTHYLAB,A,215.00,227.10,215.00,223.00,271706,605.25,5352
500087,CIPLA,A,1017.05,1029.50,999.00,1001.25,58836,597.45,5167
500469,FEDERALBNK,A,127.00,128.45,126.55,127.55,467625,595.59,3467
531500,RAJESHEXPO,A,552.85,563.75,541.95,543.55,108099,593.65,3990
517334,MOTHERSON,A,86.20,86.38,85.40,86.10,690292,592.55,4798
542652,POLYCAB,A,3594.95,3594.95,3518.00,3524.10,16674,591.83,3228
532555,NTPC,A,189.20,192.60,188.65,191.15,308999,589.63,6297
542851,GENSOL,B,1470.00,1470.00,1345.00,1354.45,41972,584.96,3054
532814,INDIANB,A,293.05,300.00,293.05,297.90,194207,576.83,3597
543272,EASEMYTRIP,A,40.90,42.53,40.66,42.32,1376153,572.49,2376
532406,AVANTEL,X,761.70,795.00,724.00,790.05,74898,569.87,2581
542649,RVNL,A,121.90,122.90,121.50,121.85,463923,566.81,3925
532790,TANLA,A,1023.10,1034.80,1005.00,1018.60,55683,566.57,2877
532482,GRANULES,A,301.20,304.70,297.30,298.20,186370,560.94,3265
543245,GLAND,A,1073.95,1073.95,1040.30,1065.95,52693,559.14,3717
532388,IOB,A,24.45,25.20,24.45,24.92,2246320,558.93,3442
542323,KPIGREEN,B,812.05,896.35,812.05,874.10,63816,558.61,3249
540180,VBL,A,801.10,823.85,794.75,818.15,68552,557.61,4046
500336,SURYAROSNI,A,868.60,884.65,786.00,793.30,68288,556.32,3597
500410,ACC,A,1817.55,1834.95,1812.05,1824.05,30515,555.70,8914
532400,BSOFT,A,360.60,363.85,353.60,354.25,154844,552.55,4269
532827,PAGEIND,A,37650.05,37897.80,37236.00,37302.80,1464,549.61,1067
532286,JINDALSTEL,A,580.00,598.40,580.00,595.10,92119,545.79,2570
500331,PIDILITIND,A,2585.95,2613.80,2570.00,2571.35,21016,543.57,4813
532966,TITAGARH,B,508.00,517.55,504.60,513.90,104615,533.51,4058
532321,ZYDUSLIFE,A,583.00,594.60,577.35,578.30,90213,529.15,8067
543417,RATEGAIN,A,417.20,452.40,417.10,447.95,119907,527.05,5284
530549,SHILPAMED,A,285.05,295.55,283.50,288.45,182013,526.38,4350
519183,ADFFOODS,B,944.65,1121.80,941.40,1119.50,47449,526.18,2746
524404,MARKSANS,A,91.31,93.00,90.66,92.73,567210,521.43,3311
543441,CMSINFO,A,362.00,379.85,362.00,376.65,139412,516.88,5180
531595,CGCL,A,765.80,768.75,750.05,758.05,67497,512.77,334
524715,SUNPHARMA,A,1050.05,1053.00,1030.00,1032.15,48880,508.42,2943
500312,ONGC,A,160.10,163.15,160.05,162.75,312087,505.22,3477
500116,IDBI,A,55.33,57.30,55.33,56.69,887649,502.98,2392
539448,INDIGO,A,2620.05,2661.00,2614.00,2635.60,18664,492.64,1585
500820,ASIANPAINT,A,3362.60,3374.15,3337.95,3358.30,14497,486.68,2434
524804,AUROPHARMA,A,725.05,730.00,709.50,712.35,67645,484.88,4091
500183,HFCL,A,65.99,69.35,65.99,68.33,701760,478.47,3158
570001,TATAMTRDVR,A,314.00,316.10,306.05,307.40,151819,472.27,4667
541601,RAJNISH,B,14.50,15.50,14.30,14.58,3153257,469.95,1243
543243,EQUITASBNK,A,89.90,92.14,89.75,90.90,516118,468.69,4324
532234,NATIONALUM,A,82.12,83.80,82.12,83.29,552510,460.12,2587
533098,NHPC,A,46.01,46.45,45.37,45.45,997711,457.53,2429
500101,ARVIND,A,135.45,141.95,133.85,140.70,322294,450.39,5673
506401,DEEPAKNI,A,2170.05,2188.35,2155.10,2165.90,20731,450.11,1537
534816,INDUSTOWER,A,163.90,168.00,163.05,165.25,272195,449.70,2526
532175,CYIENT,A,1514.05,1552.60,1501.55,1512.55,29329,448.94,3095
532978,BAJAJFINSV,A,1530.00,1543.45,1527.00,1540.65,29131,447.40,2183
533272,JWL,B,174.15,187.80,174.15,181.55,246373,446.90,3919
500182,HEROMOTOCO,A,2887.85,2911.00,2863.90,2899.55,15439,446.11,1757
532155,GAIL,A,105.55,106.60,104.70,106.40,421230,445.53,2841
542012,AAL,B,365.00,370.85,364.00,368.00,121015,443.61,432
500408,TATAELXSI,A,7678.95,7678.95,7516.15,7547.30,5803,439.70,1429
532488,DIVISLAB,A,3583.00,3653.00,3577.00,3589.05,11919,431.50,1757
542904,UJJIVANSFB,A,38.00,39.10,38.00,38.78,1105889,427.91,1666
543635,PPLPHARMA,B,93.06,93.50,91.69,92.31,459548,425.76,3068
532800,TV18BRDCST,A,37.36,37.65,37.05,37.41,1132450,423.31,1667
532839,DISHTV,A,14.55,14.98,14.55,14.83,2860708,423.05,3413
532885,CENTRALBK,A,29.42,29.99,29.17,29.88,1428741,422.68,3405
522073,HITECHGEAR,B,368.95,413.15,367.40,409.35,102051,420.04,1165
532323,SHIVACEM,B,47.40,51.90,47.40,50.78,833961,416.93,2119
532497,RADICO,A,1210.05,1288.00,1210.05,1277.90,32805,414.31,3046
517354,HAVELLS,A,1287.05,1333.55,1283.15,1290.80,31682,414.31,3400
506590,PCBL,A,163.95,168.50,163.85,165.35,248706,413.08,3508
500128,ELECTCAST,B,61.00,62.46,59.50,61.25,670800,411.55,3282
531112,BALUFORGE,X,165.00,169.00,159.95,163.85,250840,408.59,1797
532830,ASTRAL,A,1985.20,1990.00,1950.20,1964.30,20674,405.90,4059
521064,TRIDENT,A,33.35,33.53,33.22,33.35,1211392,404.31,6488
500032,BAJAJHIND,A,16.83,16.96,16.54,16.83,2408654,403.52,2653
500670,GNFC,A,600.00,605.70,597.20,600.95,66821,402.25,2601
500033,FORCEMOT,B,2735.95,2794.80,2692.30,2730.65,14595,400.00,2051
500440,HINDALCO,A,424.00,428.70,422.45,425.50,93884,399.22,3948
541195,MIDHANI,A,291.20,304.00,291.00,294.15,133670,398.66,3906
532538,ULTRACEMCO,A,8380.00,8499.70,8373.80,8463.10,4695,396.62,1415
541988,AAVAS,A,1566.90,1594.80,1524.00,1534.10,25221,393.17,2422
533339,ZENTEC,B,420.00,429.00,417.85,421.55,92694,392.17,2905
500575,VOLTAS,A,765.00,769.45,759.65,762.50,51124,390.16,3687
540530,HUDCO,A,57.11,58.75,57.11,58.02,666935,385.02,2520
540222,LAURUSLABS,A,368.40,368.40,355.85,357.15,106007,381.60,2745
543242,HEMIPROP,A,103.25,113.90,102.05,111.65,346132,380.14,4356
539337,WAAREE,M,471.75,471.75,455.00,461.80,81900,380.08,102
540205,AVL,B,1624.95,1650.00,1595.50,1607.55,23400,379.74,877
543768,NSLNISP,B,44.69,44.69,43.50,44.02,856484,377.75,3134
533553,TDPOWERSYS,B,248.70,248.70,237.00,241.55,157000,377.53,3800
500378,JINDALSAW,A,257.25,273.00,257.20,270.60,139592,374.74,4057
500850,INDHOTEL,A,393.15,396.95,388.00,390.10,95533,372.90,3639
532720,M&MFIN,A,337.00,346.20,336.85,343.55,108584,370.94,1999
507514,SDBL,B,266.95,275.20,264.55,274.25,136640,370.39,4411
532259,APARINDS,A,3501.05,3560.00,3483.75,3538.35,10441,368.55,1948
543284,EKI,A,489.70,495.00,485.10,487.50,74774,365.39,2736
539561,REMLIFE,X,4248.00,4547.80,4197.00,4268.40,8498,364.55,973
532300,WOCKPHARMA,A,237.95,238.70,233.30,237.45,154260,364.01,3008
534618,WAAREERTL,B,1133.00,1160.00,1125.00,1135.10,31949,363.01,1282
514448,JYOTIRES,B,1424.95,1450.00,1419.80,1448.30,25128,362.80,1951
539841,LANCER,B,145.90,153.85,137.55,147.80,246610,361.72,2429
532868,DLF,A,492.05,497.85,486.45,493.15,73330,361.13,1686
538734,CEINSYSTECH,XT,209.00,214.90,201.10,208.55,172841,360.43,1981
500425,AMBUJACEM,A,428.00,437.00,428.00,435.80,82721,358.79,1891
514162,WELSPUNIND,A,92.34,94.35,92.34,94.15,374889,351.24,6922
542066,ATGL,A,661.85,664.00,655.50,657.70,52998,349.28,2545
543896,AVALON,B,550.05,575.00,550.05,570.30,61215,348.17,3315
542011,GRSE,A,576.00,593.00,574.00,577.05,59621,347.53,2146
519602,KELLTONTEC,B,70.56,72.92,69.33,70.59,492783,347.10,4312
504112,NELCO,B,721.20,750.20,721.20,729.85,46381,343.16,2463
511243,CHOLAFIN,A,1142.05,1175.60,1142.05,1169.00,29477,342.55,1898
500184,HSCL,A,133.95,133.95,130.60,131.00,258328,340.45,4173
542724,EARUM,B,1.89,2.04,1.81,1.90,18132806,339.49,5714
543287,LODHA,A,669.40,697.00,665.00,692.70,48780,336.31,2449
504067,ZENSARTECH,A,387.45,392.90,383.85,385.70,86313,335.40,7342
500294,NCC,A,123.60,124.90,121.50,121.75,271749,333.60,2735
524051,POLYPLEX,A,1311.05,1361.75,1311.05,1357.35,24615,332.24,3048
508486,HAWKINCOOK,A,6405.00,6405.00,6367.10,6397.70,5133,328.48,135
524816,NATCOPHARM,A,693.25,715.35,690.45,695.25,46572,328.00,2814
590086,ORISSAMINE,B,3398.00,3670.00,3375.75,3640.75,9115,326.44,2151
542650,METROPOLIS,A,1500.00,1516.00,1467.05,1470.00,21799,325.66,2332
543711,SULA,B,460.55,468.00,442.75,445.70,71316,325.48,3030
543235,ANGELONE,A,1727.10,1765.60,1727.10,1748.85,18562,325.44,1568
532805,REDINGTON,A,188.65,192.70,185.75,191.55,171073,324.11,2927
523642,PIIND,A,3930.00,3935.25,3852.40,3862.85,8170,318.52,1741
500290,MRF,A,101300.00,101647.50,99638.15,99985.65,317,317.90,235
500495,ESCORTS,A,2243.00,2278.35,2237.85,2241.75,14052,317.42,1833
543573,SYRMA,B,453.70,453.70,443.55,445.10,70451,315.89,2129
532689,PVRINOX,A,1378.05,1397.50,1375.00,1379.05,22654,313.65,1952
526987,URJAGLOBA,B,9.58,10.26,9.51,10.14,3152934,313.40,4478
543787,ROBU,M,333.60,333.60,320.00,333.60,93600,311.17,68
538666,SHARDACROP,A,564.95,575.15,555.50,572.30,54651,310.39,2879
500300,GRASIM,A,1737.85,1797.40,1737.85,1794.20,17331,307.79,2952
540900,NEWGEN,A,685.00,691.55,657.00,662.55,45754,307.61,3497
543390,POLICYBZR,A,697.20,698.50,684.00,688.55,44302,307.03,2649
541770,CREDITACC,A,1255.05,1273.25,1250.00,1262.00,24291,306.98,2346
539083,INOXWIND,B,152.00,163.50,152.00,161.85,189699,302.71,2682
533758,APLAPOLLO,A,1357.00,1374.60,1323.55,1326.75,22564,301.32,2463
530343,GENUSPOWER,A,127.05,131.10,123.80,129.60,236936,300.66,3004
532508,JSL,A,330.45,341.65,330.45,340.20,88596,299.99,3589
500387,SHREECEM,A,24199.90,24199.90,23945.50,24105.90,1238,298.07,606
543412,STARHEALTH,A,589.60,598.00,584.00,593.55,50160,296.21,2751
532898,POWERGRID,A,255.10,255.10,249.65,250.35,117717,295.82,3438
541450,ADANIGREEN,A,948.10,957.55,940.00,941.90,30995,293.41,2161
500106,IFCI,A,11.57,12.30,11.57,12.08,2450020,292.78,2515
513599,HINDCOPPER,A,116.60,119.40,116.60,118.25,243835,287.80,2116
524000,POONAWALLA,A,345.85,346.10,338.50,342.60,84126,287.70,2938
532762,ACE,A,495.95,499.60,486.10,494.05,58265,287.24,2061
542651,KPITTECH,A,1099.95,1100.00,1074.50,1076.30,26279,284.55,1846
500219,JISLJALEQS,A,39.00,39.70,38.70,38.84,721331,283.49,1463
500124,DRREDDY,A,5156.00,5176.25,5089.55,5100.40,5446,279.70,1229
526299,MPHASIS,A,1915.00,1925.40,1892.70,1903.05,14668,279.65,1406
532281,HCLTECH,A,1190.00,1194.90,1174.40,1181.50,23549,278.87,2100
500257,LUPIN,A,895.05,902.55,884.90,892.45,31180,278.37,1371
541956,IRCON,A,83.61,84.50,83.25,83.55,331057,277.46,2852
543782,SEALMATIC,M,347.00,355.00,324.50,336.30,82200,276.76,130
522229,TANAA,X,172.00,188.95,171.00,185.80,151600,276.52,1534
512463,SHRGLTR,X,14.85,15.75,14.85,15.62,1778628,274.96,2013
501455,GREAVESCOT,A,135.00,138.35,133.35,133.95,203294,274.75,6166
540737,SGRL,B,414.40,475.35,411.00,461.55,61946,274.15,849
500483,TATACOMM,A,1601.00,1612.00,1582.00,1589.15,17125,272.70,1398
522205,PRAJIND,A,378.60,384.00,376.00,376.75,71434,271.22,2760
540797,SHALBY,B,170.00,191.75,170.00,183.80,147250,271.19,5041
500530,BOSCHLTD,A,19150.00,19212.85,18904.35,19009.90,1425,271.19,587
513683,NLCINDIA,A,108.70,111.45,107.65,110.05,246615,270.44,2990
500227,JINDALPOLY,A,658.00,664.70,651.05,658.45,41123,269.25,2180
532407,MOSCHIP,B,79.10,80.40,78.00,78.23,338956,267.79,1438
543591,DREAMFOLKS,B,654.85,664.00,631.45,640.15,41612,267.65,2021
543596,TMB,B,408.05,445.00,407.00,436.50,62111,265.77,4060
500252,LAXMIMACH,A,12979.90,13518.80,12841.95,13474.60,1986,264.22,710
500165,KANSAINER,A,459.50,469.25,455.20,461.50,56335,262.10,3101
543747,KAMOPAINTS,B,269.05,306.25,263.95,300.45,90638,260.78,2503
509488,GRAPHITE,A,400.25,405.40,398.10,399.80,64789,260.03,2276
543270,MTARTECH,A,1925.05,1946.30,1915.00,1919.80,13446,259.38,1691
512068,DECNGOLD,X,62.90,64.90,57.25,58.60,420563,258.96,1489
542726,INDIAMART,A,2825.60,2828.00,2742.00,2770.50,9210,255.69,2441
533150,GODREJPROP,A,1568.45,1584.75,1551.50,1581.75,16128,253.33,1361
532371,TTML,A,71.21,72.47,70.70,71.08,352613,251.32,4128
509567,GOACARBON,B,529.95,534.30,526.55,528.60,47464,251.13,1811
500790,NESTLEIND,A,22915.05,22940.40,22567.00,22629.20,1100,249.79,520
533263,GREENPOWER,B,11.24,12.05,11.20,11.58,2127409,248.52,2973
512529,SEQUENT,A,94.21,95.50,91.02,91.70,262350,244.85,3183
532928,TRIL,B,99.56,103.41,99.56,100.93,239812,243.88,2168
505163,ZFSTEERING,X,612.55,692.40,612.55,674.40,36889,243.65,1434
512070,UPL,A,688.25,688.30,677.90,680.50,35679,243.33,1880
517536,ONWARDTEC,B,495.85,517.75,495.85,504.20,47988,243.20,1982
500093,CGPOWER,A,379.00,383.45,375.85,378.25,64068,242.93,1150
500404,SUNFLAG,B,160.50,173.50,160.50,168.45,144009,241.37,2518
532775,GTLINFRA,A,0.81,0.84,0.81,0.82,29286543,240.76,12642
500125,EIDPARRY,A,460.20,467.15,459.00,459.75,52002,240.32,2128
535755,ABFRL,A,214.95,216.25,211.40,212.00,111968,239.59,1527
543916,HSIL,M,190.30,222.90,190.30,219.70,113600,238.28,69
500800,TATACONSUM,A,862.50,866.70,856.50,858.65,27633,237.89,1811
532630,GOKEX,A,485.00,506.65,485.00,488.90,47784,236.49,2858
500690,GSFC,A,164.90,165.85,163.20,163.60,143080,234.95,1754
531637,PRAVEG,X,525.00,528.90,504.95,505.65,45424,233.18,821
540115,LTTS,A,3980.00,3980.00,3888.00,3897.50,5909,231.59,977
500002,ABB,A,4423.10,4488.00,4390.05,4408.80,5205,231.18,1170
539889,PARAGMILK,B,148.65,148.65,137.50,138.80,162374,230.27,2090
500271,MFSL,A,810.60,813.85,802.00,805.95,28501,229.75,1613
526881,63MOONS,B,247.95,247.95,221.00,223.95,98635,229.27,4357
502219,BORORENEW,A,505.25,515.00,500.35,503.35,45202,228.10,3131
540611,AUBANK,A,754.15,763.15,754.15,760.20,29995,228.06,1900
543812,DIVGIITTS,B,941.95,1001.00,930.85,959.15,23011,225.13,2384
543384,NYKAA,A,148.60,149.25,147.60,148.30,151206,224.83,1684
541179,ISEC,A,603.30,613.00,603.30,607.70,36819,224.17,1761
520066,JAYBARMARU,B,321.25,338.00,321.25,329.20,67970,223.93,2134
532670,RENUKA,A,43.60,43.89,43.05,43.16,515478,223.50,2811
532509,SUPRAJIT,A,413.05,422.60,412.90,419.15,53261,222.72,2421
514043,HIMATSEIDE,B,115.10,133.05,115.10,131.15,175724,221.76,3757
532162,JKPAPER,A,321.05,324.00,316.75,318.40,68861,220.24,1343
543831,BRIGHT,M,256.00,264.00,247.00,252.55,87000,219.20,65
505358,INTEGRAEN,X,277.75,284.70,260.45,268.10,80663,217.63,1311
532683,AIAENG,A,3170.05,3212.25,3135.00,3159.20,6871,217.44,1770
500020,BOMDYEING,B,107.05,110.85,106.00,109.50,199795,216.54,2041
543529,DELHIVERY,A,381.10,393.00,378.75,391.60,55877,215.95,1686
512237,JAICORPLTD,A,165.60,172.40,165.60,170.05,126905,214.62,1949
543299,SHYAMMETL,A,360.95,369.35,358.50,362.10,58229,212.72,2270
522257,RAJOOENG,XT,44.61,46.07,44.61,46.07,462448,211.93,535
