Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover(₹ Lac.),No. of Trades
532650,MSPL,B,8.50,8.59,8.49,8.59,37568,3.20,208
543470,SOFTTECH,B,159.25,160.95,155.00,156.20,2032,3.20,148
530711,JAGANLAM,XT,71.30,72.50,67.15,71.16,4516,3.19,95
530449,RUNGTAIR,XT,56.82,58.87,53.61,57.30,5734,3.18,54
536659,PVVINFRA,X,14.10,14.98,13.81,14.72,21866,3.18,150
517372,GUJINTRX,X,173.10,179.85,161.50,171.00,1846,3.18,48
532408,MEGASOFT,B,29.51,30.44,29.51,30.05,10414,3.14,164
537069,ARNOLD,X,22.89,22.89,21.00,21.06,14567,3.14,46
534732,CASPIAN,XT,23.80,23.80,22.62,22.97,13765,3.14,37
543624,MAAGHADV,M,38.15,42.15,38.15,42.15,8000,3.13,4
526582,TPLPLAST,T,40.35,42.99,40.28,41.93,7573,3.12,40
540786,SHARIKA,T,6.85,6.86,6.61,6.66,46744,3.12,155
511066,SAKTHIFIN,X,31.00,32.42,30.55,31.57,9936,3.12,49
500346,PUNJCOMMU,B,31.99,32.80,31.99,32.15,9719,3.12,43
536868,INTELSOFT,X,11.61,11.78,11.50,11.67,26793,3.11,112
522650,BEMHY,X,550.00,571.05,550.00,557.35,554,3.10,47
540955,TDSL,B,12.50,12.57,11.75,12.33,24879,3.08,100
504092,INDOKEM,X,101.70,103.85,100.00,102.25,3027,3.08,37
507498,PICCASUG,X,19.20,19.20,18.00,18.32,16856,3.08,106
508807,ISTLTD,X,555.00,555.00,536.20,538.20,566,3.08,58
524711,VISTAPH,X,10.50,11.25,10.11,10.56,29274,3.07,146
540361,DANUBE,XT,14.81,15.53,14.50,15.49,20314,3.06,106
543843,COMMAND,M,25.45,25.45,25.45,25.45,12000,3.05,2
531082,ALANKIT,B,9.32,9.50,9.26,9.43,32320,3.02,191
538351,AFEL,XT,7.19,7.19,7.19,7.19,41875,3.01,131
512149,AVANCE,XT,2.51,2.51,2.51,2.51,119853,3.01,307
542019,SHUBHAM,T,20.50,21.47,20.00,21.14,14294,3.00,157
503169,RUBYMILLS,B,207.10,217.25,207.10,209.70,1429,3.00,54
523465,INDBNK,B,33.80,33.80,30.00,31.14,9302,2.96,87
540393,SMLT,T,230.00,233.00,220.00,221.00,1326,2.95,41
505232,VELJAN,X,1275.00,1277.95,1248.50,1265.85,232,2.94,32
542921,ICICIM150,B,133.27,140.00,133.27,136.79,2126,2.92,64
532041,HINDBIO,X,7.88,7.88,7.00,7.37,39383,2.90,205
532713,SAKUMA,B,13.72,13.72,13.38,13.53,21212,2.88,193
536960,MOM100,B,38.43,38.43,38.00,38.09,7532,2.88,87
523232,CONTPTR,XT,53.95,53.95,50.00,50.05,5554,2.88,53
532911,PARLEIND,X,7.20,7.20,7.00,7.04,40573,2.87,357
539251,BALKRISHNA,B,28.00,29.45,28.00,28.73,9919,2.87,158
523696,FORTISMLR,X,63.90,64.75,60.75,61.25,4631,2.86,58
541347,PARVATI,X,6.11,6.38,6.11,6.34,45250,2.85,97
524156,TCMLMTD,X,40.25,40.25,34.90,38.00,7476,2.84,61
534733,AERPACE,XT,16.15,16.15,16.15,16.15,17526,2.83,13
504988,ZWELCAST,X,880.00,880.00,802.00,862.10,333,2.83,24
500464,UCALFUEL,B,131.00,132.15,128.05,129.00,2158,2.82,113
532543,GULFPETRO,B,39.00,39.17,38.50,38.75,7251,2.81,110
530163,KERALAYUR,XT,109.80,113.00,105.20,106.00,2553,2.80,69
511601,YASHMGM,X,15.60,15.60,14.05,14.68,19064,2.80,72
519383,ANIKINDS,B,31.30,32.00,31.25,31.40,8900,2.80,71
522108,YUKEN,B,652.60,657.00,635.00,635.20,433,2.80,78
531281,MARBLE,X,14.50,16.00,14.00,15.64,18136,2.79,97
539313,UTINIFTETF,B,2050.00,2078.60,2050.00,2071.43,135,2.79,37
523144,MEDICAPQ,X,37.15,39.74,36.72,37.05,7427,2.79,111
523710,SAYAJIHOTL,XT,354.95,357.90,342.05,342.05,781,2.78,18
532674,BASML,B,47.30,47.60,46.25,46.45,5930,2.78,66
503669,KKFIN,XT,18.65,18.65,18.65,18.65,14898,2.78,5
537483,NIF100BEES,B,198.00,201.00,198.00,200.50,1379,2.77,67
538610,UNISON,X,23.50,23.75,23.05,23.19,11823,2.77,80
542802,GALACTICO,T,9.40,9.40,9.40,9.40,29363,2.76,212
538787,GBFL,X,6.30,6.30,5.81,6.12,45139,2.75,120
500360,RAPICUT,X,53.99,55.20,52.55,53.93,5072,2.74,55
521194,SILINV,B,366.55,366.90,307.10,330.70,856,2.73,26
536672,VCU,XT,6.10,6.29,5.95,6.24,44440,2.72,187
538868,CSL,X,8.07,8.07,7.70,7.92,34589,2.71,67
519097,RITESHIN,XT,39.80,40.73,39.80,40.47,6722,2.70,112
524824,BALPHARMA,B,90.00,91.62,89.00,89.28,3001,2.69,86
533316,STEL,B,142.50,142.50,136.95,140.25,1935,2.69,49
541206,OBCL,B,52.75,53.25,52.00,52.58,5110,2.69,85
506579,ORIENTCQ,B,789.65,789.95,781.00,787.20,343,2.69,59
521216,DHANROTO,X,90.90,90.90,87.50,89.49,3035,2.68,44
540360,LLFICL,XT,6.40,6.40,6.40,6.40,41700,2.67,112
524594,ASHOKALC,X,95.77,97.00,93.22,95.65,2785,2.66,43
532700,ENIL,B,135.00,137.50,132.50,134.65,1992,2.66,78
512608,BHANDHOS,B,4.71,4.90,4.71,4.79,55035,2.66,163
508922,MSRINDIA,X,10.20,10.25,10.00,10.25,26039,2.66,135
524661,WELCURE,X,4.06,4.16,4.00,4.07,65296,2.65,206
532951,GSS,B,192.00,192.00,185.00,186.00,1419,2.65,67
511605,ARIHCAPM,B,39.00,39.60,38.75,38.93,6770,2.65,108
539312,UTISENSETF,A,699.40,701.99,692.00,693.75,380,2.64,62
